Diego Vélasque,diego-velazquez
François-Édouard Picot,francois-edouard-picot
David Bowie,david-bowie
Andrea del Sarto,andrea-del-sarto
Albrecht Dürer,albrecht-durer
Hokusai,katsushika-hokusai
Antonello de Messine,antonello-da-messina
Fra Angelico,fra-angelico
Masaccio,masaccio
Ambrogio Borgognone,bergognone
Lorenzo di Credi,lorenzo-di-credi
Parmigianino,francesco-mazzola-called-parmigianino-1
Walther Klemm,walther-klemm
Donatello,donatello
Egon Schiele,egon-schiele
Franz von Stuck,franz-von-stuck
Leo von Klenze,leo-von-klenze
Hermann Finsterlin,hermann-finsterlin
Alfred Rethel,alfred-rethel
Albert Christoph Dies,albert-christoph-dies
Alfons Walde,alfons-walde
Lea Grundig,lea-grundig
Tim Eitel,tim-eitel
Maurice Utrillo,maurice-utrillo
Wilhelm Busch,wilhelm-busch
Channa Horwitz,channa-horwitz
Otto Morach,otto-morach
Arnold Böcklin,arnold-bocklin
Aloïse Corbaz,aloise-corbaz
Bernd Koberling,bernd-koberling
Frank O. Salisbury,frank-o-salisbury
Willem de Kooning,willem-de-kooning
Banksy,banksy
Camille Pissarro,camille-pissarro
Zao Wou-Ki,zhao-wuji
Jean-François Millet,jean-francois-millet
Antoine van Dyck,anthony-van-dyck
Juan Gris,juan-gris
Lazar Lissitzky,el-lissitzky
Lazar Lissitzky,lazar-markovich-lissitzky
Vanessa Beecroft,vanessa-beecroft
Francis Bacon,francis-bacon
Lorenzo Monaco,lorenzo-monaco
John Singer Sargent,john-singer-sargent
Francis Picabia,francis-picabia
Mark Rothko,mark-rothko
Robert Rauschenberg,robert-rauschenberg
Philips Koninck,philips-koninck
Philipp Otto Runge,philipp-otto-runge
Frans Hals,frans-hals
Josef Albers,josef-albers
Ilia Répine,ilya-efimovich-repin
Grahame King,grahame-king
Antonio Moro,antonis-mor
Hakuin Ekaku,hakuin-ekaku
François Boucher,francois-boucher
Ivan Aïvazovski,ivan-konstantinovich-aivazovsky
Jean-Baptiste Carpeaux,jean-baptiste-carpeaux
Dante Gabriel Rossetti,dante-gabriel-rossetti
Henri Harpignies,henri-joseph-harpignies
Honoré Daumier,honore-daumier
Thomas Gainsborough,thomas-gainsborough
Imre Pál Erdős,paul-erdos
Il Morazzone,morazzone
David Scott,david-scott
Otto Wagner,otto-wagner
Michael Johnson,michael-johnson
Saul Steinberg,saul-steinberg
Giovanni Battista Carlone,giovanni-battista-carlone
William Kent,william-kent
Antoine-Louis Barye,antoine-louis-barye
Julian Opie,julian-opie
Horst Janssen,horst-janssen
George Maciunas,george-maciunas
Ambrosius Bosschaert,ambrosius-bosschaert-the-elder
Isa Genzken,isa-genzken
Fitz Henry Lane,fitz-henry-lane
Matthäus Günther,matthaus-gunther
Gabriele Münter,gabriele-munter
Katherine Dreier,katherine-s-dreier
Wifredo Lam,wifredo-lam
Jeanne Rij-Rousseau,jeanne-rij-rousseau
Theodoros Stamos,theodoros-stamos
Friedrich Vordemberge-Gildewart,friedrich-vordemberge-gildewart
Thomas Hart Benton,thomas-hart-benton
Max Beerbohm,max-beerbohm
Pericle Fazzini,pericle-fazzini
Robert Barry,robert-barry
Roger Raveel,roger-raveel
Daniel Ridgway Knight,daniel-ridgway-knight
Giuseppe Bernardino Bison,giuseppe-bernardino-bison
Barthel Beham,barthel-beham
Pierre Joseph Célestin François,pierre-joseph-celestin-francois
Peter Blake,peter-blake
Wallerant Vaillant,wallerant-vaillant
Jan van Kessel,jan-van-kessel-ii
Kenneth Noland,kenneth-noland
Antonio Saura,antonio-saura
Ker-Xavier Roussel,ker-xavier-roussel
Dong Qichang,dong-qichang
Antoni Clavé,antoni-clave
Allaert van Everdingen,allart-van-everdingen
Tiberio Tinelli,tiberio-tinelli
Denis Calvaert,denys-calvaert
Koji Kamoji,koji-kamoji
Bernar Venet,bernar-venet
Hubert Robert,hubert-robert
Jean-Baptiste Isabey,jean-baptiste-isabey
Tony Smith,tony-smith
Benjamin Gerritsz Cuyp,benjamin-gerritsz-cuyp
Tehching Hsieh,tehching-hsieh
Alighiero Boetti,alighiero-e-boetti
Maqbool Fida Husain,maqbool-fida-husain
Allan Ramsay,allan-ramsay
Günther Förg,gunther-forg
Augustus John,augustus-john
Arnulf Rainer,arnulf-rainer
Anne Truitt,anne-truitt
